,id,color,size,width,brand_name,brand_name_en,model_name,prices,is_tbyb,tags,is_ditto,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,hashtagList,offerName,qty,subCollection,subCollectionId,isCygnusEnabled,isCashbackApplicable,searchProductName,market_price,lenskart_price,currency_code,frame_size_id,frame_size_name,frame_shape_id,frame_shape_name,brandname_id,brandname_name,frametype_id,frametype_name,occasion,suited_for,inclusiveText,clUsage,tryOnImageUrl,offer_image,isCombo,comboImageUrl,comboDescription
319,134722,,,,Aqualens,Aqualens,Aqualens Daily Disposable 10Hrs,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 399}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 319}]",False,,False,contact_lens,3347,722571,4.6,117.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aqualens', 'id': 19310, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,49695,,,False,False,Aqualens 10H Dailies 10 LP,399,319,INR,0,,0,,19310,Aqualens,0,,,,,Continuous Usage: 10 Hrs,,,,,
320,144127,,,,Aqualens Nxt,Aqualens Nxt,Aqualens 24Hrs NXT Monthly Disposable,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1295}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 799}]",False,,False,contact_lens,4281,665762,4.45,96.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aqualens Nxt', 'id': 26137, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,49728,,,False,False,Aqualens NXT Monthly 3LP,1295,799,INR,0,,0,,26137,Aqualens Nxt,0,,,,,Continuous Usage: 24 Hrs,,,,,
321,149928,,,,Aquacolor Candypack,Aquacolor Candypack,Aquacolor Candypack Spicy Gray Zero Power Daily,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 200}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 169}]",False,,False,contact_lens,974,300066,4.75,26.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aquacolor Candypack', 'id': 26138, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",AQUACOLOR,49671,,,False,False,Aquacolor Spicy Grey N CL385 Candypack Zero Power Dailies 2LP,200,169,INR,0,,0,,26138,Aquacolor Candypack,0,,,,,Continuous Usage: 8 Hrs,,,,,
322,149936,,,,Aquacolor Candypack,Aquacolor Candypack,Aquacolor Candypack Dusky Brown Zero Power Daily,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 200}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 169}]",False,,False,contact_lens,0,165855,4.6,5.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aquacolor Candypack', 'id': 26138, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,49006,,,False,False,Aquacolor Dusky Brown N FL335 Candypack Zero Power Dailies 2LP,200,169,INR,0,,0,,26138,Aquacolor Candypack,0,,,,,Continuous Usage: 8 Hrs,,,,,
324,149929,,,,Aquacolor Candypack,Aquacolor Candypack,Aquacolor Candypack Stormy Gray Zero Power Daily,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 200}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 169}]",False,,False,contact_lens,405,119478,4.7,7.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aquacolor Candypack', 'id': 26138, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",AQUACOLOR,49610,,,False,False,Aquacolor Stormy Gray Candypack Zero Power Dailies 2LP,200,169,INR,0,,0,,26138,Aquacolor Candypack,0,,,,,Continuous Usage: 8 Hrs,,,,,
325,149934,,,,Aquacolor Candypack,Aquacolor Candypack,Aquacolor Candypack Tricky Turquoise Zero Power Daily,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 200}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 169}]",False,,False,contact_lens,0,142135,4.65,6.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aquacolor Candypack', 'id': 26138, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,49821,,,False,False,Aquacolor Tricky Turquoise N FL338 Candypack Zero Power Dailies 2LP,200,169,INR,0,,0,,26138,Aquacolor Candypack,0,,,,,Continuous Usage: 8 Hrs,,,,,
326,149931,,,,Aquacolor Candypack,Aquacolor Candypack,Aquacolor Candypack Walnut Brown Zero Power Daily,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 200}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 169}]",False,,False,contact_lens,568,111035,4.6,5.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aquacolor Candypack', 'id': 26138, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",AQUACOLOR,49882,,,False,False,Aquacolor Walnut Brown Candypack Zero Power Dailies 2LP,200,169,INR,0,,0,,26138,Aquacolor Candypack,0,,,,,Continuous Usage: 8 Hrs,,,,,
327,149932,,,,Aquacolor Candypack,Aquacolor Candypack,Aquacolor Candypack Misty Gray Zero Power Daily,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 200}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 169}]",False,,False,contact_lens,196,116271,4.25,8.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aquacolor Candypack', 'id': 26138, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",AQUACOLOR,49627,,,False,False,Aquacolor Misty Gray Candypack Zero Power Dailies 2LP,200,169,INR,0,,0,,26138,Aquacolor Candypack,0,,,,,Continuous Usage: 8 Hrs,,,,,
328,135218,,,,Aqualens,Aqualens,Aqualens Toric Monthly Disposable 24Hrs,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1100}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 999}]",False,,False,contact_lens,8379,384187,4.55,352.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aqualens', 'id': 19310, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,49782,,,False,False,Aqualens 24H Toric Monthly 3LP,1100,999,INR,0,,0,,19310,Aqualens,0,,,,,Continuous Usage: 24 Hrs,,,,,
329,149933,,,,Aquacolor Candypack,Aquacolor Candypack,Aquacolor Candypack Mocha Brown Zero Power Daily,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 200}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 169}]",False,,False,contact_lens,395,99728,4.65,6.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aquacolor Candypack', 'id': 26138, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",AQUACOLOR,49711,,,False,False,Aquacolor Mocha Brown Candypack Zero Power Dailies 2LP,200,169,INR,0,,0,,26138,Aquacolor Candypack,0,,,,,Continuous Usage: 8 Hrs,,,,,
