,id,color,size,width,brand_name,brand_name_en,model_name,prices,is_tbyb,tags,is_ditto,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,hashtagList,offerName,qty,subCollection,subCollectionId,isCygnusEnabled,isCashbackApplicable,searchProductName,market_price,lenskart_price,currency_code,frame_size_id,frame_size_name,frame_shape_id,frame_shape_name,brandname_id,brandname_name,frametype_id,frametype_name,occasion,suited_for,inclusiveText,clUsage,tryOnImageUrl,offer_image,isCombo,comboImageUrl,comboDescription
316,123656,,,,Aqualens,Aqualens,Aqualens Spectacle Lens Cleaner Bottle 100 ml,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 150}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 110}]",False,,False,contact_lens_solution,8027,6854466,4.75,1952.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aqualens', 'id': 19310, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,10033946,,,False,False,Aqualens Spectacle Lens Cleaner Bottle 100 ml,150,110,INR,0,,0,,19310,Aqualens,0,,,,,,,,,,
317,149532,,,,Lenskart,Lenskart,Lenskart Aquadrop Natural 10 ml,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 99}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 49}]",False,Eye Drop,False,contact_lens_solution,356,1600572,4.65,69.0,"[{'name': '', 'id': 0, 'property': 'frame_size_id'}, {'name': '', 'id': 0, 'property': 'frame_shape_id'}, {'name': 'Lenskart', 'id': 10684, 'property': 'brandname_id'}, {'name': '', 'id': 0, 'property': 'frametype_id'}]",,1456,,,False,False,Lenskart Aquadrop Natural,99,49,INR,0,,0,,10684,Lenskart,0,,,,,,,,,,
318,133855,,,,Aqualens,Aqualens,Aqualens Comfort Contact Lens Solution 120 ml,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 290}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 199}]",False,,False,contact_lens_solution,8702,2030486,4.75,957.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aqualens', 'id': 19310, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,83637,,,False,False,Aqualens Comfort Contact Lens Solution 120 ML,290,199,INR,0,,0,,19310,Aqualens,0,,,,,,,,,,
323,133854,,,,Aqualens,Aqualens,Aqualens Comfort Contact Lens Solution 60 ml,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 135}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 130}]",False,,False,contact_lens_solution,4678,686719,4.75,137.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aqualens', 'id': 19310, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,77978,,,False,False,Aqualens Comfort Contact Lens Solution 60 ML,135,130,INR,0,,0,,19310,Aqualens,0,,,,,,,,,,
330,206681,,,,Aqualens,Aqualens,Aqualens Comfort Contact lens Solution 120ml x 2,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 580}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 280}]",False,,False,contact_lens_solution,0,18211,0.0,,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aqualens', 'id': 19310, 'property': 'brandname_id'}, {'name': '', 'id': 0, 'property': 'frametype_id'}]",,406,,,False,False,Aqualens Comfort Contact lens Solution 120ML- Combo,580,280,INR,0,,0,,19310,Aqualens,0,,,,,Solution,,,,,
331,147511,,,,Aqualens,Aqualens,Fog-Resist Lens Cleaner 30 ml,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 499}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 100}]",False,Anti-Fog Spray,False,contact_lens_solution,8375,289400,4.6,100.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aqualens', 'id': 19310, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,14122,,,False,False,Fog-Resist Lens Cleaner - 30 ML,499,100,INR,0,,0,,19310,Aqualens,0,,,,,,,,,,
334,115802,,,,Aqualens,Aqualens,Aqualens Comfort Contact Lens Solution 360 ml,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 549}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 299}]",False,,False,contact_lens_solution,8788,466824,4.7,461.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Aqualens', 'id': 19310, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,3705,,,False,False,Aqualens Comfort Contact Lens Solution 360 ML,549,299,INR,0,,0,,19310,Aqualens,0,,,,,,,,,,
435,7555,,,,Bausch & Lomb,Bausch & Lomb,Renu Fresh Contact Lens Solution 120 ml,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 260}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 260}]",False,,False,contact_lens_solution,3798,77457,4.8,45.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Bausch & Lomb', 'id': 10692, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,1498,,,False,False,Renu Fresh Contact Lens Solution 120 ml,260,260,INR,0,,0,,10692,Bausch & Lomb,0,,,,,,,,,,
663,12631,,,,Biotrue,Biotrue,Bio True Contact Lens Solution 300 ml,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 600}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 580}]",False,,False,contact_lens_solution,2712,83951,4.6,131.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Biotrue', 'id': 13418, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,827,,,False,False,Bio True Contact Lens Solution 300ml,600,580,INR,0,,0,,13418,Biotrue,0,,,,,,,,,,
684,19947,,,,Bausch & Lomb,Bausch & Lomb,Renu fresh multipurpose Contact Lens Solution 355 ml,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 550}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 520}]",False,,False,contact_lens_solution,2081,71826,4.65,83.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Bausch & Lomb', 'id': 10692, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,5709,,,False,False,Renu fresh multipurpose Contact Lens Solution 355ml,550,520,INR,0,,0,,10692,Bausch & Lomb,0,,,,,,,,,,
