,id,color,size,width,brand_name,brand_name_en,model_name,prices,is_tbyb,tags,is_ditto,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,hashtagList,offerName,qty,subCollection,subCollectionId,isCygnusEnabled,isCashbackApplicable,searchProductName,market_price,lenskart_price,currency_code,frame_size_id,frame_size_name,frame_shape_id,frame_shape_name,brandname_id,brandname_name,frametype_id,frametype_name,occasion,suited_for,inclusiveText,clUsage,tryOnImageUrl,offer_image,isCombo,comboImageUrl,comboDescription
4134,216630,,,,LK Gold,LK Gold,Lenskart Gold MAX upgrade,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 500}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 500}]",False,,False,loyalty_services,11872,3275319,5.0,9.0,"[{'name': '', 'id': 0, 'property': 'frame_size_id'}, {'name': '', 'id': 0, 'property': 'frame_shape_id'}, {'name': 'LK Gold', 'id': 21697, 'property': 'brandname_id'}, {'name': '', 'id': 0, 'property': 'frametype_id'}]",,47809,,,False,False,Two Years Gold Membership,500,500,INR,0,,0,,21697,LK Gold,0,,,,,,,,,,
4135,216617,,,,LK Gold,LK Gold,Lenskart Gold MAX membership (2 years),"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1200}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1200}]",False,,False,loyalty_services,11872,3546405,4.8,12.0,"[{'name': '', 'id': 0, 'property': 'frame_size_id'}, {'name': '', 'id': 0, 'property': 'frame_shape_id'}, {'name': 'LK Gold', 'id': 21697, 'property': 'brandname_id'}, {'name': '', 'id': 0, 'property': 'frametype_id'}]",,66585,,,False,False,1 year Gold Membership,1200,1200,INR,0,,0,,21697,LK Gold,0,,,,,,,,,,
4183,210661,,,,LK Gold,LK Gold,Aqua Gold Contact Lens Membership,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 100}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 50}]",False,,False,loyalty_services,331436,7461457,0.0,,"[{'name': '', 'id': 0, 'property': 'frame_size_id'}, {'name': '', 'id': 0, 'property': 'frame_shape_id'}, {'name': 'LK Gold', 'id': 21697, 'property': 'brandname_id'}, {'name': '', 'id': 0, 'property': 'frametype_id'}]",,240619,,,False,False,Aqua Gold Contact Lens Membership,100,50,INR,0,,0,,21697,LK Gold,0,,,,,,,,,,
4188,209931,Yellow,,,Insurance,Insurance,Insurance I,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 4900}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 4900}]",False,,False,loyalty_services,0,28,0.0,,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Insurance', 'id': 22546, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,2,,,False,False,,4900,4900,INR,0,,0,,22546,Insurance,0,,,,,,,,,,
4227,152749,Yellow,,,Insurance,Insurance,Insurance VII,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 399}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 399}]",False,,False,loyalty_services,1,314740,4.85,7.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Insurance', 'id': 22546, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,136019,,,False,False,Lenskart Protect Insurance,399,399,INR,0,,0,,22546,Insurance,0,,,,,,,,,,
4228,152748,Yellow,,,Insurance,Insurance,Insurance VI,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 299}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 299}]",False,,False,loyalty_services,1,1057611,4.45,28.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Insurance', 'id': 22546, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,149240,,,False,False,Lenskart Protect Insurance,299,299,INR,0,,0,,22546,Insurance,0,,,,,,,,,,
4229,152747,Yellow,,,Insurance,Insurance,Insurance V,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 199}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 199}]",False,,False,loyalty_services,12,399984,4.3,12.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'Insurance', 'id': 22546, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,167806,,,False,False,Lenskart Protect Insurance,199,199,INR,0,,0,,22546,Insurance,0,,,,,,,,,,
4241,148393,,,,LK Gold,LK Gold,Lenskart Gold Membership (2 Years),"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1000}]",False,,False,loyalty_services,11872,3207440,4.8,163.0,"[{'name': '', 'id': 0, 'property': 'frame_size_id'}, {'name': '', 'id': 0, 'property': 'frame_shape_id'}, {'name': 'LK Gold', 'id': 21697, 'property': 'brandname_id'}, {'name': '', 'id': 0, 'property': 'frametype_id'}]",,10148521,,,False,False,Two Years Gold Membership,1000,1000,INR,0,,0,,21697,LK Gold,0,,,,,,,,,,
4242,148392,Yellow,,,LK Gold,LK Gold,Lenskart Gold Membership (3 months),"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 499}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 499}]",False,,False,loyalty_services,28909,376983,4.65,56.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'LK Gold', 'id': 21697, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,223542,,,False,False,3 Months Gold Membership,499,499,INR,0,,0,,21697,LK Gold,0,,,,,,,,,,
4287,128269,Yellow,,,LK Gold,LK Gold,Lenskart Gold Membership,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 500}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 500}]",False,,False,loyalty_services,331436,10033906,4.65,7606.0,"[{'id': 0, 'property': 'frame_size_id'}, {'id': 0, 'property': 'frame_shape_id'}, {'name': 'LK Gold', 'id': 21697, 'property': 'brandname_id'}, {'id': 0, 'property': 'frametype_id'}]",,99999969,,,False,False,One Year Gold Membership,500,500,INR,0,,0,,21697,LK Gold,0,,,,,,,,,,
