,id,color,size,width,brand_name,brand_name_en,model_name,prices,is_tbyb,tags,is_ditto,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,hashtagList,offerName,qty,subCollection,subCollectionId,isCygnusEnabled,isCashbackApplicable,searchProductName,market_price,lenskart_price,currency_code,frame_size_id,frame_size_name,frame_shape_id,frame_shape_name,brandname_id,brandname_name,frametype_id,frametype_name,occasion,suited_for,inclusiveText,clUsage,tryOnImageUrl,offer_image,isCombo,comboImageUrl,comboDescription
345,148704,Blue Sky,Medium,139 mm,Lenskart Hustlr,Lenskart Hustlr,LB E14058-W,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1700}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1700}]",False,Blue Sky,True,non_power_reading,7121,168891,4.6,298.0,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Wayfarer', 'id': 11343, 'property': 'frame_shape_id'}, {'name': 'Lenskart Hustlr', 'id': 26031, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",LKSHARK,23627,Lenskart Hustlr,26161.0,True,False,Blue Sky Full Rim Wayfarer Eyeglasses,1700,1700,INR,11341,Medium,11343,Wayfarer,26031,Lenskart Hustlr,11370,Full Rim,,,,,,,,,
349,217922,Electric Green,Medium,139 mm,Lenskart Hustlr,Lenskart Hustlr,LB E14058-W,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1700}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1700}]",False,Electric Green,False,non_power_reading,0,4505,0.0,,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Wayfarer', 'id': 11343, 'property': 'frame_shape_id'}, {'name': 'Lenskart Hustlr', 'id': 26031, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",VCEYE,264,Lenskart Hustlr,26161.0,False,False,Peyush Bansal Shark Tank Electric Green Full Rim Wayfarer,1700,1700,INR,11341,Medium,11343,Wayfarer,26031,Lenskart Hustlr,11370,Full Rim,,,,,,,,,
362,152031,Transparent,Medium,136 mm,LENSKART BLU READERS,LENSKART BLU READERS,LR E13968,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 700}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 700}]",False,+1.5 (Prefitted),True,non_power_reading,0,36732,4.75,34.0,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Rectangle', 'id': 11345, 'property': 'frame_shape_id'}, {'name': 'LENSKART BLU READERS', 'id': 24261, 'property': 'brandname_id'}, {'name': 'Half Rim', 'id': 11371, 'property': 'frametype_id'}]",,2202,,,False,False,Transparent Half Rim Rectangle Eyeglasses,700,700,INR,11341,Medium,11345,Rectangle,24261,LENSKART BLU READERS,11371,Half Rim,,,,,,,,,
381,152617,Transparent,Medium,136 mm,LENSKART BLU READERS,LENSKART BLU READERS,LR E13968,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 700}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 700}]",False,+2.5 (Prefitted),True,non_power_reading,0,29404,4.75,34.0,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Rectangle', 'id': 11345, 'property': 'frame_shape_id'}, {'name': 'LENSKART BLU READERS', 'id': 24261, 'property': 'brandname_id'}, {'name': 'Half Rim', 'id': 11371, 'property': 'frametype_id'}]",,907,,,True,False,Transparent Half Rim Rectangle Eyeglasses,700,700,INR,11341,Medium,11345,Rectangle,24261,LENSKART BLU READERS,11371,Half Rim,,,,,,,,,
384,208966,Greystone,Medium,139 mm,Lenskart Hustlr,Lenskart Hustlr,LB E14058-W,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1700}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1700}]",False,Greystone,True,non_power_reading,0,24511,4.6,298.0,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Wayfarer', 'id': 11343, 'property': 'frame_shape_id'}, {'name': 'Lenskart Hustlr', 'id': 26031, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",LKSHARK,7104,Lenskart Hustlr,26161.0,True,False,Grey Full Rim Wayfarer Eyeglasses,1700,1700,INR,11341,Medium,11343,Wayfarer,26031,Lenskart Hustlr,11370,Full Rim,,,,,,,,,
386,148702,Dark Night,Medium,139 mm,Lenskart Hustlr,Lenskart Hustlr,LB E14058-W,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1700}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1700}]",False,Dark Night,True,non_power_reading,7533,47273,4.6,298.0,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Wayfarer', 'id': 11343, 'property': 'frame_shape_id'}, {'name': 'Lenskart Hustlr', 'id': 26031, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",VCEYE,4590,Lenskart Hustlr,26161.0,True,False,Dark Night Full Rim Wayfarer Eyeglasses,1700,1700,INR,11341,Medium,11343,Wayfarer,26031,Lenskart Hustlr,11370,Full Rim,,,,,,,,,
387,152216,Transparent,Medium,136 mm,LENSKART BLU READERS,LENSKART BLU READERS,LR E13968,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 700}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 700}]",False,+2 (Prefitted),True,non_power_reading,0,31634,4.75,34.0,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Rectangle', 'id': 11345, 'property': 'frame_shape_id'}, {'name': 'LENSKART BLU READERS', 'id': 24261, 'property': 'brandname_id'}, {'name': 'Half Rim', 'id': 11371, 'property': 'frametype_id'}]",,3088,,,True,False,Transparent Half Rim Rectangle Eyeglasses,700,700,INR,11341,Medium,11345,Rectangle,24261,LENSKART BLU READERS,11371,Half Rim,,,,,,,,,
398,149828,Black,Wide,138 mm,Lenskart READERS,Lenskart READERS,LR E11058,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 500}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 500}]",False,+1.5 (Prefitted),True,non_power_reading,141,31665,4.6,33.0,"[{'name': 'Wide', 'id': 24069, 'property': 'frame_size_id'}, {'name': 'Rectangle', 'id': 11345, 'property': 'frame_shape_id'}, {'name': 'Lenskart READERS', 'id': 24140, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",,1588,,,False,False,Black Full Rim Rectangle Eyeglasses,500,500,INR,24069,Wide,11345,Rectangle,24140,Lenskart READERS,11370,Full Rim,,,,,,,,,
404,149830,Black,Wide,138 mm,Lenskart READERS,Lenskart READERS,LR E11058,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 500}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 500}]",False,+2.5 (Prefitted),True,non_power_reading,102,31662,4.6,33.0,"[{'name': 'Wide', 'id': 24069, 'property': 'frame_size_id'}, {'name': 'Rectangle', 'id': 11345, 'property': 'frame_shape_id'}, {'name': 'Lenskart READERS', 'id': 24140, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",,3094,,,True,False,Black Full Rim Rectangle Eyeglasses,500,500,INR,24069,Wide,11345,Rectangle,24140,Lenskart READERS,11370,Full Rim,,,,,,,,,
406,152030,Transparent,Medium,136 mm,LENSKART BLU READERS,LENSKART BLU READERS,LR E13968,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 700}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 700}]",False,+1 (Prefitted),True,non_power_reading,0,23039,4.75,34.0,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Rectangle', 'id': 11345, 'property': 'frame_shape_id'}, {'name': 'LENSKART BLU READERS', 'id': 24261, 'property': 'brandname_id'}, {'name': 'Half Rim', 'id': 11371, 'property': 'frametype_id'}]",,1106,,,True,False,Transparent Half Rim Rectangle Eyeglasses,700,700,INR,11341,Medium,11345,Rectangle,24261,LENSKART BLU READERS,11371,Half Rim,,,,,,,,,
